Start,End,Event Name,Waypoint Link
07:00,07:15,Tequatl the Sunless,[&BNABAAA=]
11:30,11:45,Tequatl the Sunless,[&BNABAAA=]
16:00,16:15,Tequatl the Sunless,[&BNABAAA=]
19:00,19:15,Tequatl the Sunless,[&BNABAAA=]
00:00,00:15,Tequatl the Sunless,[&BNABAAA=]
03:00,03:15,Tequatl the Sunless,[&BNABAAA=]
08:00,08:15,Triple Wurm,[&BKoBAAA=]
12:30,12:45,Triple Wurm,[&BKoBAAA=]
17:00,17:15,Triple Wurm,[&BKoBAAA=]
20:00,20:15,Triple Wurm,[&BKoBAAA=]
01:00,01:15,Triple Wurm,[&BKoBAAA=]
04:00,04:15,Triple Wurm,[&BKoBAAA=]
10:30,10:45,Karka Queen,[&BNcGAAA=]
15:00,15:15,Karka Queen,[&BNcGAAA=]
18:00,18:15,Karka Queen,[&BNcGAAA=]
23:00,23:15,Karka Queen,[&BNcGAAA=]
02:00,02:15,Karka Queen,[&BNcGAAA=]
06:00,06:15,Karka Queen,[&BNcGAAA=]
07:00,07:15,The Shatterer,[&BE4DAAA=]
10:00,10:15,The Shatterer,[&BE4DAAA=]
13:00,13:15,The Shatterer,[&BE4DAAA=]
16:00,16:15,The Shatterer,[&BE4DAAA=]
19:00,19:15,The Shatterer,[&BE4DAAA=]
22:00,22:15,The Shatterer,[&BE4DAAA=]
01:00,01:15,The Shatterer,[&BE4DAAA=]
04:00,04:15,The Shatterer,[&BE4DAAA=]
07:30,07:45,Modniir Ulgoth,[&BLEAAAA=]
10:30,10:45,Modniir Ulgoth,[&BLEAAAA=]
13:30,13:45,Modniir Ulgoth,[&BLEAAAA=]
16:30,16:45,Modniir Ulgoth,[&BLEAAAA=]
19:30,19:45,Modniir Ulgoth,[&BLEAAAA=]
22:30,22:45,Modniir Ulgoth,[&BLEAAAA=]
01:30,01:45,Modniir Ulgoth,[&BLEAAAA=]
04:30,04:45,Modniir Ulgoth,[&BLEAAAA=]
08:00,08:15,Golem Mark II,[&BNQCAAA=]
11:00,11:15,Golem Mark II,[&BNQCAAA=]
14:00,14:15,Golem Mark II,[&BNQCAAA=]
17:00,17:15,Golem Mark II,[&BNQCAAA=]
20:00,20:15,Golem Mark II,[&BNQCAAA=]
23:00,23:15,Golem Mark II,[&BNQCAAA=]
02:00,02:15,Golem Mark II,[&BNQCAAA=]
05:00,05:15,Golem Mark II,[&BNQCAAA=]
08:30,08:45,Claw of Jormag,[&BHoCAAA=]
11:30,11:45,Claw of Jormag,[&BHoCAAA=]
14:30,14:45,Claw of Jormag,[&BHoCAAA=]
17:30,17:45,Claw of Jormag,[&BHoCAAA=]
20:30,20:45,Claw of Jormag,[&BHoCAAA=]
23:30,23:45,Claw of Jormag,[&BHoCAAA=]
02:30,02:45,Claw of Jormag,[&BHoCAAA=]
05:30,05:45,Claw of Jormag,[&BHoCAAA=]
09:00,09:15,Taidha Covington,[&BKgBAAA=]
12:00,12:15,Taidha Covington,[&BKgBAAA=]
15:00,15:15,Taidha Covington,[&BKgBAAA=]
18:00,18:15,Taidha Covington,[&BKgBAAA=]
21:00,21:15,Taidha Covington,[&BKgBAAA=]
00:00,00:15,Taidha Covington,[&BKgBAAA=]
03:00,03:15,Taidha Covington,[&BKgBAAA=]
06:00,06:15,Taidha Covington,[&BKgBAAA=]
09:30,09:45,Megadestroyer,[&BM0CAAA=]
12:30,12:45,Megadestroyer,[&BM0CAAA=]
15:30,15:45,Megadestroyer,[&BM0CAAA=]
18:30,18:45,Megadestroyer,[&BM0CAAA=]
21:30,21:45,Megadestroyer,[&BM0CAAA=]
00:30,00:45,Megadestroyer,[&BM0CAAA=]
03:30,03:45,Megadestroyer,[&BM0CAAA=]
06:30,06:45,Megadestroyer,[&BM0CAAA=]
